symptoms,disease,icd10_code,severity,medication
difficulty swallowing;chest pain;food sticking,Esophageal Intramural Pseudodiverticulosis,K22.8,2,Proton pump inhibitors
heartburn;chest pain;asthma-like symptoms,Reflux-Induced Asthma,J45.998,2,H2 receptor antagonists
difficulty swallowing;chest pain;weight loss,Esophageal Stricture due to Lichen Planus,L43.8,2,Topical corticosteroids
heartburn;chest pain;difficulty breathing,Reflux-Induced Pulmonary Fibrosis,J84.10,3,Antifibrotic agents
heartburn;chest pain;chronic sinusitis,Reflux-Induced Sinusitis,J32.9,2,Nasal corticosteroids
stridor;cough;difficulty breathing,Tracheal Stenosis,J39.8,2,Bronchodilators
hemoptysis;dyspnea;chest pain,Tracheal Tumor,C33,3,Radiation Therapy
noisy breathing;recurrent respiratory infections;cyanosis,Congenital Tracheal Web,Q32.1,2,Balloon Dilation
cough;wheezing;chest discomfort,Tracheal Bronchitis,J40,1,Antibiotics
stridor;cyanosis;respiratory distress,Tracheal Foreign Body,T17.8,3,Bronchoscopic Removal
cough;fever;chest pain,Tuberculous Tracheitis,A15.8,2,Anti-tuberculosis Drugs
hoarseness;dyspnea;stridor,Tracheal Papillomatosis,D14.2,2,Laser Ablation
wheezing;cough;chest tightness,Tracheal Asthma,J45.909,2,Inhaled Corticosteroids
hemoptysis;dyspnea;fever,Tracheal Hemorrhage,R04.8,3,Hemostatic Agents
dyspnea;stridor;cyanosis,Tracheal Rupture,S27.5,3,Surgical Repair
persistent cough;hoarseness;dysphagia,Acquired Tracheoesophageal Fistula,J95.04,3,Surgical Closure
stridor;cyanosis;respiratory distress,Tracheal Aspergillosis,B44.1,3,Antifungal Medication
wheezing;cough;chest tightness,Tracheal Bronchospasm,J98.01,2,Bronchodilators
hemoptysis;dyspnea;fever,Tracheal Varices,I86.8,3,Endoscopic Ligation
persistent cough;wheezing;chest discomfort,Chemical Tracheitis,J68.0,2,Corticosteroids
cough;fever;chest pain,Tracheal Sarcoidosis,D86.0,2,Systemic Corticosteroids
hoarseness;dysphagia;neck swelling,Tracheal Metastasis,C78.39,3,Palliative Care
wheezing;shortness of breath;chest tightness,Relapsing Polychondritis,M94.1,2,Immunosuppressants
persistent cough;hoarseness;dysphagia,Tracheoinnominate Fistula,J95.09,3,Emergency Surgery
dyspnea;stridor;cyanosis,Tracheal Mucormycosis,B46.0,3,Antifungal Therapy
cough;wheezing;chest discomfort,Wegener's Granulomatosis,M31.30,2,Cyclophosphamide
neck swelling;difficulty swallowing;hoarseness,Thyroid Nodule,E04.1,1,Watchful Waiting
neck pain;fever;difficulty swallowing,Thyroiditis,E06,2,NSAIDs
bulging eyes;double vision;eye irritation,Thyroid Eye Disease,H06.2,2,Prednisone
neck swelling;difficulty breathing;choking sensation,Goiter,E04,2,Iodine Supplements
fatigue;muscle weakness;constipation,Myxedema,E03.5,3,Intravenous Levothyroxine
neck tenderness;fever;malaise,Subacute Thyroiditis,E06.1,2,Corticosteroids
weight gain;hair loss;dry skin,Subclinical Hypothyroidism,E02,1,Levothyroxine
fatigue;memory problems;depression,Postpartum Thyroiditis,E06.4,2,Levothyroxine
weight loss;diarrhea;muscle weakness,T3 Thyrotoxicosis,E05.8,2,Propranolol
neck pain;fever;malaise,Acute Thyroiditis,E06.0,2,Antibiotics
neck swelling;rapid growth;difficulty breathing,Thyroid Adenoma,D34,2,Surgical Removal
fatigue;constipation;cold intolerance,Congenital Hypothyroidism,E03.1,2,Levothyroxine
palpitations;heat intolerance;increased sweating,Toxic Multinodular Goiter,E05.2,2,Radioactive Iodine
neck swelling;difficulty breathing;chest pain,Retrosternal Goiter,E04.8,2,Surgical Removal
fatigue;weight gain;puffy face,Iodine Deficiency,E01,1,Iodine Supplements
tremors;weight loss;eye bulging,Toxic Adenoma,E05.1,2,Antithyroid Drugs
palpitations;anxiety;heat intolerance,Jod-Basedow Phenomenon,E05.4,2,Beta-blockers
fatigue;weight gain;hair loss,Thyroid Hormone Resistance,E07.8,2,Triiodothyronine
fatigue;dry skin;memory problems,Secondary Hypothyroidism,E03.2,2,Levothyroxine
neck tenderness;fatigue;joint pain,Riedel's Thyroiditis,E06.5,2,Corticosteroids
fatigue;weight gain;constipation,Thyroid Hormone Withdrawal,E03.8,2,Temporary Levothyroxine
neck mass;lymph node enlargement;difficulty swallowing,Metastatic Thyroid Cancer,C79.9,3,Targeted Therapy
pus-filled bumps;redness;oily skin,Acne Vulgaris,L70,1,Benzoyl Peroxide
red butterfly rash;photosensitivity;joint pain,Lupus,L93,3,Hydroxychloroquine
mole changes;irregular borders;color variations,Melanoma,C43,3,Immunotherapy
itchy blisters;redness;burning sensation,Contact Dermatitis,L23,1,Calamine Lotion
redness;swelling;warmth,Cellulitis,L03,2,Cephalexin
red scaly patches;itching;burning,Seborrheic Dermatitis,L21,1,Ketoconazole Shampoo
skin thickening;itching;discoloration,Lichen Planus,L43,2,Topical Tacrolimus
red wheals;itching;swelling,Urticaria,L50,1,Antihistamines
tiny red dots;easy bruising;bleeding,Thrombocytopenia,D69.6,3,Corticosteroids
blisters;raw skin;itching,Pemphigus,L10,3,Rituximab
facial redness;pimples;eye irritation,Rosacea,L71,1,Metronidazole Cream
red patches;scaling;itching,Tinea Corporis,B35.4,1,Terbinafine Cream
sunburn;blistering;skin peeling,Sunburn,L55,1,Aloe Vera Gel
rough patches;scaling;itching,Ichthyosis,Q80,2,Urea Cream
skin ulcers;pain;discoloration,Venous Stasis Ulcers,I83.0,2,Compression Stockings
red patches;scaling;nail changes,Pityriasis Rosea,L42,1,Antihistamines
skin nodules;nerve pain;muscle weakness,Neurofibromatosis,Q85.0,2,Pain Management
red bumps;pus;scarring,Hidradenitis Suppurativa,L73.2,2,Antibiotics
pale skin;easy bruising;fatigue,Vitiligo,L80,1,Topical Corticosteroids
red scaly rash;itching;blisters,Dyshidrotic Eczema,L30.1,1,Topical Tacrolimus
skin tags;dark patches;obesity,Acanthosis Nigricans,L83,1,Weight Management
red patches;scaling;nail pitting,Nail Psoriasis,L40.9,2,Topical Corticosteroids
red rash;fever;muscle pain,Scarlet Fever,A38,2,Penicillin
red patches;scaling;itching,Seborrheic Keratosis,L82,1,Cryotherapy
skin hardening;joint pain;fatigue,Morphea,L94.0,2,Phototherapy
blisters;raw skin;mucous membrane involvement,Stevens-Johnson Syndrome,L51.1,3,Supportive Care
blue-red nodules;pain;cold sensitivity,Perniosis,T69.1,1,Nifedipine
red patches;scaling;nail changes,Pityriasis Rubra Pilaris,L44.0,2,Acitretin
skin fragility;blistering;scarring,Epidermolysis Bullosa,Q81,3,Wound Care
red scaling patches;hair loss;itching,Lichen Planopilaris,L66.1,2,Topical Corticosteroids
skin tightening;discoloration;joint pain,CREST Syndrome,M34.1,2,Calcium Channel Blockers
red scaling patches;itching;chronic,Mycosis Fungoides,C84.0,3,PUVA Therapy
bone pain;fractures;deformities,Osteogenesis Imperfecta,Q78.0,3,Bisphosphonates
knee pain;stiffness;crepitus,Osteoarthritis,M17,2,Acetaminophen
bone pain;fatigue;weakness,Multiple Myeloma,C90.0,3,Bortezomib
back pain;sciatica;weakness,Herniated Disc,M51.2,2,NSAIDs
hip pain;limping;restricted movement,Legg-Calve-Perthes Disease,M91.1,2,Physical Therapy
bone pain;pathological fractures;hypercalcemia,Bone Metastases,C79.5,3,Radiation Therapy
bone pain;deformities;short stature,Rickets,E55.0,2,Vitamin D Supplements
bone pain;swelling;warmth,Osteomyelitis,M86,3,Intravenous Antibiotics
joint pain;swelling;redness,Septic Arthritis,M00,3,Intravenous Antibiotics
bone pain;fatigue;frequent infections,Leukemia,C95,3,Chemotherapy
spine curvature;back pain;uneven shoulders,Scoliosis,M41,2,Bracing
bone pain;pathological fractures;fatigue,Gaucher's Disease,E75.2,2,Enzyme Replacement Therapy
joint pain;swelling;enthesitis,Enteropathic Arthritis,M07.3,2,Sulfasalazine
bone pain;fractures;muscle weakness,Hypophosphatasia,E83.3,3,Asfotase Alfa
joint pain;swelling;nodules,Polyarteritis Nodosa,M30.0,3,Cyclophosphamide
bone pain;fractures;hypercalcemia,Familial Hypocalciuric Hypercalcemia,E83.52,1,Monitoring
bone pain;fractures;muscle weakness,Tumor-Induced Osteomalacia,M83.8,2,Phosphate Supplements
bone pain;fractures;hearing loss,Otosclerosis,H80,2,Sodium Fluoride
joint pain;swelling;skin changes,Multicentric Reticulohistiocytosis,M35.8,3,Methotrexate
muscle stiffness;spasms;difficulty walking,Spastic Paraplegia,G11.4,2,Baclofen
muscle cramping;weakness;muscle atrophy,Peripheral Neuropathy,G60.9,2,Gabapentin
muscle pain;weakness;fever,Polymyositis,M33.20,3,Methotrexate
muscle weakness;fatigue;exercise intolerance,Mitochondrial Myopathy,G71.3,2,Coenzyme Q10
muscle pain;weakness;skin rash,Dermatomyositis,M33.90,3,Azathioprine
muscle weakness;difficulty swallowing;respiratory problems,Pompe Disease,E74.02,3,Enzyme Replacement Therapy
muscle cramps;weakness;muscle hypertrophy,Thomsen Disease,G71.12,2,Mexiletine
muscle weakness;respiratory failure;hypotonia,Spinal Muscular Atrophy,G12.0,3,Nusinersen
muscle pain;weakness;elevated CK levels,Statin-Induced Myopathy,G72.0,2,Discontinuation of Statin
muscle stiffness;pain;tremor,Stiff Person Syndrome,G25.82,2,Diazepam
muscle weakness;ptosis;ophthalmoplegia,Chronic Progressive External Ophthalmoplegia,H49.4,2,Coenzyme Q10
muscle pain;weakness;contractures,McArdle Disease,E74.04,2,Dietary Management
muscle pain;weakness;dark urine,Myoglobinuria,R82.1,3,Aggressive Hydration
muscle stiffness;spasms;pain,Tetanus,A35,3,Tetanus Immune Globulin
muscle pain;weakness;rash,Eosinophilic Myositis,M60.80,2,Corticosteroids
muscle stiffness;pain;weakness,Myotonia Congenita,G71.11,2,Mexiletine
muscle weakness;respiratory failure;dysphagia,Congenital Myasthenic Syndrome,G70.2,3,Pyridostigmine
muscle pain;stiffness;fatigue,Myofascial Pain Syndrome,M79.1,2,Trigger Point Injections
muscle weakness;atrophy;cramps,Isaacs' Syndrome,G71.13,2,Carbamazepine
leg pain;swelling;warmth,Deep Vein Thrombosis,I82.4,2,Heparin
chest pain;sweating;nausea,Angina Pectoris,I20.9,2,Nitroglycerin
abdominal pain;pulsating mass;back pain,Abdominal Aortic Aneurysm,I71.4,3,Surgical Repair
leg pain;cramping;fatigue,Peripheral Artery Disease,I73.9,2,Cilostazol
skin ulcers;varicose veins;leg pain,Chronic Venous Insufficiency,I87.2,2,Compression Stockings
butterfly rash;joint pain;fatigue,Lupus Vasculitis,M32.1,3,Cyclophosphamide
cold sensitivity;color changes in fingers,Raynaud's Phenomenon,I73.0,1,Nifedipine
leg swelling;pain;redness,Thrombophlebitis,I80,2,Anticoagulants
limb weakness;vision loss;headache,Takayasu's Arteritis,M31.4,3,Methotrexate
erectile dysfunction;leg pain;hair loss,Leriche Syndrome,I74.0,2,Surgical Bypass
skin discoloration;ulcers;gangrene,Buerger's Disease,I73.1,3,Smoking Cessation
swelling;pain;redness,Lymphangitis,I89.1,2,Antibiotics
nosebleeds;skin telangiectasias;arteriovenous malformations,Hereditary Hemorrhagic Telangiectasia,I78.0,2,Iron Supplements
leg pain;skin changes;ulcers,Livedoid Vasculopathy,I78.8,2,Antiplatelet Agents
headache;fever;rash,Cerebral Vasculitis,I67.7,3,Immunosuppressants
arm pain;weakness;dizziness,Subclavian Steal Syndrome,I65.0,2,Angioplasty
leg pain;pallor;pulselessness,Acute Limb Ischemia,I74.3,3,Thrombolytic Therapy
leg ulcers;skin changes;edema,Post-thrombotic Syndrome,I87.0,2,Compression Therapy
recurrent pneumonia;nosebleeds;brain abscess,Pulmonary Arteriovenous Malformation,Q25.72,2,Embolization
headache;neck pain;vision changes,Carotid Artery Dissection,I77.71,3,Anticoagulation
calf pain;swelling;redness,May-Thurner Syndrome,I87.1,2,Stent Placement
skin ulcers;livedo reticularis;stroke,Antiphospholipid Syndrome,D68.61,3,Anticoagulation
headache;visual disturbances;seizures,Reversible Cerebral Vasoconstriction Syndrome,I67.841,3,Calcium Channel Blockers
leg pain;skin changes;ulceration,Venous Stasis Dermatitis,I83.1,2,Compression Therapy
chest pain;shortness of breath;fatigue,Coronary Microvascular Disease,I20.8,2,Beta-blockers
skin rash;fever;arthralgia,Cryoglobulinemic Vasculitis,D89.1,3,Rituximab
leg pain;skin discoloration;ulcers,Erythromelalgia,I73.81,2,Aspirin
chest pain;shortness of breath;dizziness,Coronary Artery Ectasia,I25.89,2,Anticoagulation
headache;neck pain;vertigo,Vertebral Artery Dissection,I77.74,3,Anticoagulation
facial pain;vision changes;headache,Cavernous Sinus Thrombosis,G08,3,Antibiotics and Anticoagulation
dry eyes;itching;redness,Dry Eye Syndrome,H04.1,1,Artificial tears
cloudy vision;colors appear faded;glare sensitivity,Cataracts,H25,2,N/A (surgery)
central vision loss;distorted vision;color changes,Age-related Macular Degeneration,H35.3,2,Ranibizumab
eye redness;discharge;swelling,Conjunctivitis,H10,1,Erythromycin ointment
eye strain;headaches;blurred vision,Computer Vision Syndrome,H53.1,1,N/A (ergonomic changes)
itchy eyes;tearing;redness,Allergic Conjunctivitis,H10.1,1,Ketotifen eye drops
night blindness;peripheral vision loss;light sensitivity,Retinitis Pigmentosa,H35.5,2,Vitamin A supplements
eye pain;redness;blurred vision,Keratitis,H16,2,Ganciclovir eye gel
eyelid swelling;pain;redness,Chalazion,H00.1,1,Warm compresses
eye redness;pain;discharge,Bacterial Keratitis,H16.1,3,Moxifloxacin eye drops
eye redness;itching;swelling,Blepharitis,H01.0,1,Erythromycin ointment
blurred vision;eye strain;headaches,Astigmatism,H52.2,1,Corrective lenses
difficulty focusing;blurred near vision,Presbyopia,H52.4,1,Reading glasses
blurred distance vision;squinting,Myopia,H52.1,1,Corrective lenses
blurred near vision;farsightedness,Hyperopia,H52.0,1,Corrective lenses
eyelid drooping;double vision,Ptosis,H02.4,2,N/A (surgery)
eye pain;redness;tearing,Corneal Abrasion,S05.0,2,Erythromycin ointment
eyelid twitching;muscle spasms,Blepharospasm,G24.5,1,Botulinum toxin injections
eye redness;burning;foreign body sensation,Pinguecula,H11.1,1,Artificial tears
yellow-white raised area on eye,Pterygium,H11.0,1,N/A (surgery if severe)
eye redness;pain;light sensitivity,Scleritis,H15.0,2,Prednisolone eye drops
eyelashes turning inward;eye irritation,Trichiasis,H02.05,1,Epilation
eyelid turning outward;tearing;irritation,Ectropion,H02.1,2,N/A (surgery)
eyelid turning inward;eye irritation,Entropion,H02.0,2,N/A (surgery)
eye redness;pain;swelling,Orbital Cellulitis,H05.0,3,Intravenous antibiotics
eye pain;redness;discharge,Dacryocystitis,H04.3,2,Oral antibiotics
cloudy cornea;vision loss;eye pain,Corneal Ulcer,H16.0,3,Moxifloxacin eye drops
eyelid lesion;growth;irritation,Eyelid Tumor,D48.7,2,N/A (biopsy/excision)
eye redness;pain;light sensitivity,Iritis,H20.0,2,Prednisolone eye drops
eye redness;itching;tearing,Vernal Keratoconjunctivitis,H16.2,2,Cyclosporine eye drops
vision loss;eye pain;redness,Central Retinal Artery Occlusion,H34.1,3,Ocular massage
sudden vision loss;floaters;flashes,Vitreous Hemorrhage,H43.1,2,N/A (observation/surgery)
eye pain;redness;light sensitivity,Endophthalmitis,H44.0,3,Intravitreal antibiotics
vision changes;flashing lights;floaters,Posterior Vitreous Detachment,H43.8,1,N/A (observation)
eye redness;pain;light sensitivity,Herpes Simplex Keratitis,B00.52,2,Acyclovir ointment
double vision;eye misalignment,Strabismus,H50,2,N/A (surgery or vision therapy)
color vision deficiency;difficulty distinguishing colors,Color Blindness,H53.5,1,N/A (adaptive devices)
eye redness;pain;blurred vision,Episcleritis,H15.1,1,Artificial tears
knee pain;instability;swelling,Anterior Cruciate Ligament Tear,S83.51,2,Naproxen
ankle pain;bruising;difficulty walking,Lateral Ankle Ligament Sprain,S93.4,1,Ibuprofen
wrist pain;weakness;limited range of motion,Scapholunate Ligament Tear,S63.3,2,Celecoxib
thumb pain;difficulty gripping,Ulnar Collateral Ligament Injury of Thumb,S63.61,1,Acetaminophen
elbow pain;instability;loss of strength,Ulnar Collateral Ligament Tear of Elbow,S53.3,2,Diclofenac
neck pain;stiffness;headache,Cervical Ligament Sprain,S13.4,1,Cyclobenzaprine
lower back pain;muscle spasms;limited mobility,Lumbar Ligament Sprain,S33.5,2,Methocarbamol
shoulder pain;instability;weakness,Acromioclavicular Ligament Sprain,S43.5,1,Meloxicam
hip pain;difficulty walking;groin discomfort,Hip Ligament Sprain,S73.1,2,Tramadol
jaw pain;clicking;difficulty chewing,Temporomandibular Ligament Disorder,M26.62,1,Diazepam
knee buckling;pain behind knee;swelling,Posterior Cruciate Ligament Tear,S83.52,2,Ketorolac
foot pain;arch collapse;difficulty standing,Plantar Ligament Sprain,S93.6,1,Indomethacin
sternoclavicular joint pain;swelling;chest discomfort,Sternoclavicular Ligament Sprain,S43.6,2,Nabumetone
finger pain;swelling;reduced grip strength,Collateral Ligament Sprain of Finger,S63.4,1,Aspirin
toe pain;bruising;difficulty walking,Toe Ligament Sprain,S93.5,1,Etodolac
sacroiliac joint pain;lower back stiffness;leg pain,Sacroiliac Ligament Sprain,S33.6,2,Piroxicam
knee pain;locking;instability,Medial Collateral Ligament Tear,S83.41,2,Dexamethasone
ankle instability;recurrent sprains;pain,Chronic Ankle Ligament Instability,M24.27,2,Ketoprofen
shoulder blade pain;limited arm movement;weakness,Coracoclavicular Ligament Sprain,S43.8,2,Diflunisal
wrist pain;clicking;reduced grip strength,Triangular Fibrocartilage Complex Tear,S63.2,2,Mefenamic acid
knee pain;swelling;difficulty extending leg,Patellar Ligament Tear,S76.1,2,Oxaprozin
lower back pain;leg weakness;numbness,Ligamentum Flavum Hypertrophy,M48.8,2,Gabapentin
neck pain;arm weakness;tingling,Transverse Ligament Injury,S13.1,3,Pregabalin
elbow pain;stiffness;limited range of motion,Radial Collateral Ligament Sprain,S53.4,1,Sulindac
knee pain;giving way;difficulty pivoting,Anterolateral Ligament Tear,S83.8,2,Fenoprofen
lower back pain;sciatica;leg weakness,Iliolumbar Ligament Syndrome,M53.3,2,Baclofen
shoulder pain;instability;difficulty lifting arm,Coracohumeral Ligament Sprain,M75.8,2,Etoricoxib
shoulder pain;clicking;limited range of motion,Glenohumeral Ligament Sprain,S43.4,2,Meloxicam
swelling;pain;dry mouth,Sialadenitis,K11.2,2,Amoxicillin
painless swelling;dry mouth;facial nerve weakness,Pleomorphic Adenoma,D11.0,1,Surgical excision
rapid swelling;pain;fever,Mumps,B26.9,2,Acetaminophen
recurrent swelling;pain;sour taste,Sialolithiasis,K11.5,2,Pilocarpine
firm swelling;facial numbness;pain,Mucoepidermoid Carcinoma,C08.1,3,Radiation therapy
painful swelling;fever;trismus,Parotid Abscess,K11.3,3,Clindamycin
dry mouth;difficulty speaking;increased dental caries,Radiation-Induced Xerostomia,K11.7,2,Cevimeline
painless swelling;facial paralysis;pain,Adenoid Cystic Carcinoma,C08.9,3,Cisplatin
swelling;pain;difficulty opening mouth,Salivary Gland Cyst,K11.6,1,Aspiration
dry mouth;difficulty chewing;speech problems,Salivary Gland Atrophy,K11.0,2,Pilocarpine
swelling;pain;facial asymmetry,Salivary Gland Trauma,S09.93,2,Dexamethasone
swelling;pain;fever,Viral Sialadenitis,B26.8,2,Acyclovir
swelling;pain;difficulty opening mouth,Salivary Gland Fistula,K11.4,2,Pressure dressing
swelling;pain;pus discharge,Necrotizing Sialometaplasia,K11.8,2,Supportive care
recurrent swelling;pain;bitter taste,Sialadenosis,K11.1,1,Dietary changes
dry mouth;difficulty chewing;speech problems,Salivary Gland Aplasia,Q38.4,2,Artificial saliva
swelling;pain;facial asymmetry,Salivary Gland Hemangioma,D18.0,1,Sclerotherapy
swelling;pain;fever,Tuberculous Sialadenitis,A18.8,3,Isoniazid
swelling;pain;trismus,Salivary Gland Sarcoidosis,D86.8,2,Methotrexate
pain;redness;swelling,Pilonidal Cyst,L05.9,2,Clindamycin
itching;burning;rash,Intertrigo,L30.4,1,Miconazole
bruising;pain;swelling,Gluteal Contusion,S30.0,1,Ibuprofen
pain;numbness;tingling,Piriformis Syndrome,G57.0,2,Cyclobenzaprine
redness;warmth;painful lump,Cellulitis of Buttock,L03.31,2,Cephalexin
itching;red bumps;pus-filled lesions,Folliculitis,L02.31,1,Mupirocin
pain;swelling;difficulty sitting,Ischial Bursitis,M70.7,2,Diclofenac
discoloration;dimpling;lumps,Cellulite,L98.8,1,Tretinoin
numbness;weakness;pain radiating down leg,Sciatica,M54.3,2,Gabapentin
itching;burning;white patches,Tinea Cruris,B35.9,1,Terbinafine
redness;scaling;itching,Eczema of Buttocks,L30.9,1,Hydrocortisone
itching;burning;red patches,Contact Dermatitis,L25.9,1,Triamcinolone
pain;difficulty walking;muscle spasms,Piriformis Muscle Spasm,M62.838,2,Baclofen
itching;scaling;red patches,Seborrheic Dermatitis,L21.9,1,Ketoconazole
pain;swelling;difficulty moving,Gluteal Tendinopathy,M76.0,2,Diclofenac
itching;burning;blisters,Herpes Simplex,A60.9,2,Acyclovir
pain;tenderness;difficulty sitting,Pudendal Neuralgia,G58.8,2,Amitriptyline
itching;redness;scaling,Allergic Dermatitis,L23.9,1,Fexofenadine
pain;swelling;difficulty sitting,Sacroiliac Joint Dysfunction,M46.1,2,Celecoxib
itching;burning;red patches,Inverse Psoriasis,L40.8,2,Tacrolimus
pain;numbness;tingling,Meralgia Paresthetica,G57.1,2,Gabapentin
redness;scaling;itching,Lichen Planus,L43.9,1,Clobetasol
itching;burning;redness,Candidiasis of Skin,B37.2,1,Clotrimazole
pain;tenderness;difficulty sitting,Proctalgia Fugax,K59.4,1,Diltiazem cream
pain;swelling;bruising,Gluteal Compartment Syndrome,T79.6,3,Fasciotomy
itching;scaling;red patches,Atopic Dermatitis,L20.9,1,Pimecrolimus
pain;difficulty walking;muscle weakness,Gluteal Muscle Atrophy,M62.50,2,Physical therapy
neck pain;radiating arm pain;numbness,Cervical Radiculopathy,M54.12,2,Gabapentin
neck stiffness;fever;headache,Meningitis,G00.9,3,Ceftriaxone
neck mass;voice changes;difficulty breathing,Laryngeal Cancer,C32.9,3,Cisplatin
neck pain;headache;dizziness,Cervicogenic Headache,M53.0,2,Amitriptyline
neck pain;muscle spasms;tenderness,Cervical Strain,S13.4XXA,1,Cyclobenzaprine
neck lump;difficulty swallowing;ear pain,Oropharyngeal Cancer,C10.9,3,Carboplatin
neck pain;shoulder pain;weakness,Cervical Disc Herniation,M50.20,2,Methylprednisolone
neck pain;headache;visual disturbances,Vertebral Artery Dissection,I67.0,3,Heparin
neck pain;tingling;weakness in arms,Cervical Myelopathy,M47.12,3,Dexamethasone
neck pain;difficulty swallowing;ear pain,Eagle Syndrome,M95.0,2,Carbamazepine
neck swelling;difficulty breathing;stridor,Epiglottitis,J05.1,3,Ceftriaxone
neck pain;headache;nausea,Occipital Neuralgia,M54.81,2,Pregabalin
neck pain;clicking;limited range of motion,Cervical Facet Syndrome,M53.82,2,Diclofenac
neck swelling;fever;sore throat,Peritonsillar Abscess,J36,2,Amoxicillin/Clavulanate
neck pain;numbness;weakness in hands,Cervical Spinal Stenosis,M48.02,2,Tramadol
neck stiffness;photophobia;confusion,Viral Encephalitis,A86,3,Acyclovir
neck swelling;difficulty swallowing;voice changes,Goiter,E04.9,2,Propylthiouracil
neck pain;headache;sensitivity to light,Cervicogenic Migraine,G44.89,2,Topiramate
neck swelling;fever;malaise,Infectious Mononucleosis,B27.9,2,Prednisone
neck pain;shoulder pain;arm weakness,Thoracic Outlet Syndrome,G54.0,2,Nortriptyline
neck mass;difficulty swallowing;weight loss,Esophageal Cancer,C15.9,3,Fluorouracil
neck pain;muscle weakness;sensory changes,Syringomyelia,G95.0,3,Baclofen
neck swelling;fever;throat pain,Retropharyngeal Abscess,J39.0,3,Clindamycin
neck swelling;difficulty breathing;cough,Laryngeal Edema,J38.4,3,Epinephrine
neck mass;voice changes;persistent cough,Vocal Cord Paralysis,J38.00,2,Speech therapy
neck pain;headache;neck stiffness,Atlantoaxial Instability,M43.4,3,Cervical collar
neck swelling;fever;chills,Deep Neck Space Infection,L03.221,3,Vancomycin
neck pain;difficulty turning head;muscle spasms,Acute Torticollis,M43.6,2,Baclofen
neck mass;difficulty swallowing;ear pain,Parapharyngeal Space Tumor,D10.6,2,Surgical excision
chest pain;fever;productive cough,Pneumonia,J15.9,2,Azithromycin
chest discomfort;difficulty swallowing;regurgitation,Gastroesophageal Reflux Disease,K21.9,1,Omeprazole
chest pain;shortness of breath;leg swelling,Congestive Heart Failure,I50.9,3,Furosemide
chest pain;cough;fever,Acute Bronchitis,J20.9,1,Dextromethorphan
chest pain;shortness of breath;dizziness,Pulmonary Embolism,I26.99,3,Heparin
chest tightness;cough;mucus production,Chronic Obstructive Pulmonary Disease,J44.9,2,Tiotropium
chest pain;rapid breathing;anxiety,Hyperventilation Syndrome,R06.4,1,Diazepam
chest pain;fever;night sweats,Tuberculosis,A15.9,3,Isoniazid
chest discomfort;difficulty breathing;fatigue,Anemia,D64.9,2,Ferrous sulfate
chest pain;palpitations;fainting,Atrial Fibrillation,I48.91,2,Warfarin
chest discomfort;burping;bloating,Functional Dyspepsia,K30,1,Metoclopramide
chest pain;shortness of breath;cough,Pericarditis,I30.9,2,Colchicine
chest pain;difficulty breathing;bluish skin,Pneumothorax,J93.9,3,Chest tube
chest pain;fever;cough with blood,Lung Abscess,J85.2,3,Clindamycin
chest tightness;cough;wheezing,Bronchiectasis,J47.9,2,Tobramycin
chest pain;rapid heartbeat;sweating,Thyrotoxicosis,E05.90,2,Propranolol
chest tightness;cough;chest pain,Costochondritis,M94.0,1,Ibuprofen
chest pain;difficulty breathing;fever,Empyema,J86.9,3,Vancomycin
chest tightness;wheezing;cough,Cystic Fibrosis,E84.9,3,Dornase alfa
chest pain;shortness of breath;rapid heartbeat,Pulmonary Edema,J81.0,3,Morphine
chest pain;fever;cough,Acute Respiratory Distress Syndrome,J80,3,Methylprednisolone
chest tightness;shortness of breath;fatigue,Sarcoidosis,D86.9,2,Prednisone
chest tightness;difficulty breathing;chest pain,Spontaneous Rib Fracture,S22.49XA,2,Acetaminophen
chest pain;shortness of breath;leg swelling,Cor Pulmonale,I27.81,3,Spironolactone
chest tightness;wheezing;shortness of breath,Exercise-Induced Bronchoconstriction,J45.990,1,Formoterol
sore throat;fever;difficulty swallowing,Strep Throat,J02.0,2,Amoxicillin
itching;red rash;blisters,Chickenpox,B01.9,2,Acyclovir
joint pain;swelling;stiffness,Osteoarthritis,M19.90,2,Celecoxib
skin rash;fever;body aches,Measles,B05.9,2,Vitamin A
excessive thirst;frequent urination;weight loss,Type 1 Diabetes,E10.9,3,Insulin
red eye;itching;tearing,Conjunctivitis,H10.9,1,Erythromycin eye ointment
skin plaques;itching;scaling,Psoriasis,L40.0,2,Topical corticosteroids
mood swings;sadness;loss of interest,Depression,F32.9,2,Sertraline
anxiety;restlessness;excessive worry,Generalized Anxiety Disorder,F41.1,2,Escitalopram
sneezing;itchy eyes;runny nose,Allergic Rhinitis,J30.9,1,Cetirizine
joint pain;fatigue;skin rash,Rheumatoid Arthritis,M06.9,2,Methotrexate
abdominal pain;jaundice;fever,Hepatitis A,B15.9,2,Supportive care
memory loss;confusion;personality changes,Alzheimer's Disease,G30.9,3,Donepezil
back pain;numbness;weakness,Herniated Disc,M51.26,2,Naproxen
abdominal pain;blood in stool;diarrhea,Ulcerative Colitis,K51.90,2,Mesalamine
muscle aches;fatigue;sore throat,Mononucleosis,B27.90,2,Supportive care
rash;fever;swollen lymph nodes,Rubella,B06.9,1,Supportive care
painful joints;fever;rash,Lyme Disease,A69.20,2,Doxycycline
stomach pain;bloating;nausea,Peptic Ulcer,K27.9,2,Pantoprazole
